"id","category","source_url","download_url","local_filename","enabled","notes"
"nnu_entry","official_entry","https://xsxk.nnu.edu.cn/xsxkapp/sys/xsxkapp/*default/index.do","","nnu_entry_url.txt","no","只作入口登记；不主动访问真实系统"
"bit_guide","official_pdf","https://jxzx.bit.edu.cn/docs/2025-01/b605beb791ed4966a223232af0b5dcd8.pdf","https://jxzx.bit.edu.cn/docs/2025-01/b605beb791ed4966a223232af0b5dcd8.pdf","bit_course_guide.pdf","yes","学校公开选课说明"
"seu_guide_old","official_pdf","https://math.seu.edu.cn/_upload/article/files/6c/65/77d76dd1499bb0f6d0b7b49907d3/8ee083a6-575d-4831-90de-df882b8be6a2.pdf","https://math.seu.edu.cn/_upload/article/files/6c/65/77d76dd1499bb0f6d0b7b49907d3/8ee083a6-575d-4831-90de-df882b8be6a2.pdf","seu_course_guide_old.pdf","yes","公开历史选课说明"
"seu_guide_2018","official_pdf","https://jwc.seu.edu.cn/_upload/article/files/aa/bb/ea23d6554c0daa9682c7da5daed0/b79e787c-5c62-488c-9c2e-94df6570fdfd.pdf","https://math.seu.edu.cn/_upload/article/files/6c/65/77d76dd1499bb0f6d0b7b49907d3/8ee083a6-575d-4831-90de-df882b8be6a2.pdf","seu_course_guide_2018.pdf","yes","教务处旧直链 404；使用同名官方学院镜像"
"shanghaitech_grad","official_pdf","https://it.shanghaitech.edu.cn/_upload/article/files/bc/27/119643c240a0aeb5b54147d51b08/5c98f64b-9449-42c7-81db-2d86fabdfe52.pdf","https://it.shanghaitech.edu.cn/_upload/article/files/bc/27/119643c240a0aeb5b54147d51b08/0dad4061-8860-4dfc-b4ea-8fa202e02d11.pdf","shanghaitech_grad_manual.pdf","yes","旧文件 ID 404；使用学校信息化系统当前学生端手册链接"
"seu_grad","official_pdf","https://seugs.seu.edu.cn/_upload/article/files/34/45/c442b996456aabc544e88ee90b00/122fec3c-c2d0-44f6-a7e0-2c6c9e0cada7.pdf","https://seugs.seu.edu.cn/_upload/article/files/34/45/c442b996456aabc544e88ee90b00/122fec3c-c2d0-44f6-a7e0-2c6c9e0cada7.pdf","seu_grad_manual.pdf","yes","yjsxkapp 产品族相邻资料"
"ecupl_manual","official_pdf","https://gs.ecupl.edu.cn/_upload/article/files/7d/0e/2b6c08eb46abbb743ab47b38c015/e6416081-4fe1-4eb2-bdb3-95f3ed84b480.pdf","https://gs.ecupl.edu.cn/_upload/article/files/7d/0e/2b6c08eb46abbb743ab47b38c015/e6416081-4fe1-4eb2-bdb3-95f3ed84b480.pdf","ecupl_system_manual.pdf","yes","厂商版权/产品族相邻资料"
"niknul_xk_helper","gist","https://gist.github.com/nik-nul/9ef1d51dc2ea6b8e58d7980b3eab52ba","https://gist.githubusercontent.com/nik-nul/9ef1d51dc2ea6b8e58d7980b3eab52ba/raw/","niknul_xk_helper_raw.txt","yes","公开 Gist 原始内容"
"greasy_nju","greasyfork","https://greasyfork.org/en/scripts/562715-nju-%E5%8D%97%E5%A4%A7-%E5%8D%97%E4%BA%AC%E5%A4%A7%E5%AD%A6%E9%80%89%E8%AF%BE%E5%8A%A9%E6%89%8B/code","https://greasyfork.org/en/scripts/562715-nju-%E5%8D%97%E5%A4%A7-%E5%8D%97%E4%BA%AC%E5%A4%A7%E5%AD%A6%E9%80%89%E8%AF%BE%E5%8A%A9%E6%89%8B/code","greasy_nju_source.html","yes","公开用户脚本源码页"
"greasy_seu_official","greasyfork","https://greasyfork.org/en/scripts/427237-%E4%B8%9C%E5%8D%97%E5%A4%A7%E5%AD%A6%E6%8A%A2%E8%AF%BE%E5%8A%A9%E6%89%8B%E6%AD%A3%E5%BC%8F%E7%89%88/code","https://greasyfork.org/en/scripts/427237-%E4%B8%9C%E5%8D%97%E5%A4%A7%E5%AD%A6%E6%8A%A2%E8%AF%BE%E5%8A%A9%E6%AD%A3%E5%BC%8F%E7%89%88/code","greasy_seu_official_source.html","yes","公开用户脚本源码页"
